region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
North,2024,0-14,Male,Group A,40087,89.18,39009,97.31
North,2020,25-44,Female,Group C,45050,56.92,27233,60.45
East,2016,45-64,Male,Group A,3269,72.66,20184,617.44
West,2018,65+,Male,Group B,10992,68.69,31942,290.59
North,2011,25-44,Male,Group B,3845,61.07,38178,992.93
North,2017,65+,Female,Group B,3165,71.29,4708,148.75
South,2018,15-24,Male,Group B,25307,83.93,39410,155.73
East,2020,15-24,Male,Group D,44052,70.55,6416,14.56
North,2012,25-44,Female,Group D,12866,79.94,24469,190.18
South,2011,65+,Female,Group A,9825,80.49,460,4.68
Central,2016,15-24,Male,Group C,5940,80.25,7033,118.4
North,2014,25-44,Male,Group B,28722,77.77,9727,33.87
North,2014,65+,Female,Group B,27451,60.03,6144,22.38
South,2019,25-44,Male,Group D,40378,64.39,22718,56.26
East,2014,65+,Male,Group D,20764,89.4,23459,112.98
North,2013,15-24,Female,Group B,19621,76.6,30060,153.2
Central,2022,25-44,Male,Group C,19315,85.36,31759,164.43
North,2014,15-24,Male,Group A,44763,79.51,33302,74.4
Central,2022,25-44,Female,Group A,30811,56.66,7869,25.54
West,2013,0-14,Male,Group A,42897,89.24,35747,83.33
West,2024,15-24,Male,Group A,20249,57.77,25579,126.32
Central,2022,15-24,Male,Group C,29718,95.56,23912,80.46
East,2015,45-64,Female,Group C,16033,64.26,19391,120.94
North,2013,15-24,Male,Group C,44633,77.03,13459,30.15
North,2011,65+,Female,Group D,45367,57.73,38158,84.11
West,2018,25-44,Female,Group B,1816,93.48,25716,1416.08
Central,2011,0-14,Male,Group C,38472,97.14,36131,93.92
North,2018,65+,Female,Group A,21888,61.29,9294,42.46
North,2019,65+,Male,Group C,14012,67.72,11824,84.38
East,2015,65+,Male,Group B,1184,55.68,24072,2033.11
South,2018,65+,Male,Group D,27664,88.84,32991,119.26
West,2018,0-14,Female,Group A,39708,68.39,4852,12.22
West,2012,45-64,Male,Group D,12235,80.32,35716,291.92
South,2010,15-24,Male,Group C,36355,56.69,26172,71.99
North,2010,65+,Male,Group A,43135,85.76,8295,19.23
East,2012,15-24,Female,Group A,39046,77.76,3557,9.11
East,2014,15-24,Female,Group C,49297,86.17,12296,24.94
West,2022,65+,Male,Group C,8579,88.95,8295,96.69
East,2012,45-64,Male,Group B,22912,58.84,10880,47.49
South,2021,15-24,Male,Group C,36362,79.86,28442,78.22
North,2018,25-44,Male,Group C,19691,82.95,26533,134.75
South,2018,15-24,Female,Group C,15321,77.22,13369,87.26
Central,2012,65+,Female,Group A,8082,62.84,24739,306.1
West,2012,0-14,Female,Group B,9512,89.21,21922,230.47
East,2021,15-24,Female,Group A,34155,97.89,19116,55.97
Central,2023,45-64,Female,Group C,45188,96.68,38305,84.77
East,2014,25-44,Female,Group B,39283,88.43,3973,10.11
North,2011,25-44,Female,Group C,15030,72.98,30145,200.57
North,2015,0-14,Male,Group A,20877,69.5,21245,101.76
North,2016,0-14,Male,Group A,45721,57.95,2257,4.94
East,2022,15-24,Male,Group C,22153,72.9,17261,77.92
Central,2018,65+,Male,Group B,40776,61.71,13338,32.71
North,2024,45-64,Male,Group A,20880,65.94,35942,172.14
Central,2015,25-44,Male,Group C,1056,93.35,25060,2373.11
East,2012,0-14,Female,Group D,27290,96.65,16103,59.01
Central,2021,45-64,Male,Group C,9400,95.79,29242,311.09
East,2014,65+,Female,Group C,33985,63.31,39412,115.97
East,2013,25-44,Male,Group B,36933,93.74,18424,49.88
West,2024,25-44,Female,Group C,14391,61.08,2078,14.44
East,2014,65+,Female,Group D,43604,76.83,39257,90.03
East,2017,25-44,Male,Group C,15514,82.68,10002,64.47
South,2017,65+,Male,Group D,7047,74.89,28738,407.8
North,2015,25-44,Male,Group A,38464,95.93,23803,61.88
West,2010,15-24,Male,Group C,30432,69.33,15237,50.07
West,2017,65+,Male,Group B,45239,77.68,11890,26.28
West,2017,45-64,Female,Group C,20763,58.24,10523,50.68
South,2011,15-24,Male,Group D,19820,91.65,3514,17.73
East,2013,45-64,Female,Group D,48484,72.77,34346,70.84
North,2021,25-44,Female,Group B,43874,85.12,14556,33.18
Central,2011,45-64,Female,Group D,39959,84.34,11469,28.7
East,2013,15-24,Male,Group C,7545,84.08,5540,73.43
South,2021,65+,Male,Group D,43755,76.8,33420,76.38
East,2022,0-14,Male,Group C,1737,66.93,592,34.08
East,2022,45-64,Male,Group C,43577,81.88,5671,13.01
South,2019,0-14,Male,Group D,39740,96.36,8337,20.98
West,2016,45-64,Male,Group B,36826,90.86,14197,38.55
West,2018,45-64,Female,Group A,5793,59.68,19634,338.93
North,2023,65+,Male,Group B,25774,56.0,30478,118.25
North,2023,25-44,Female,Group A,19737,76.46,10597,53.69
West,2017,15-24,Female,Group B,28884,88.36,31730,109.85
Central,2024,15-24,Male,Group C,31493,68.5,4994,15.86
East,2021,15-24,Male,Group C,13311,85.15,23994,180.26
Central,2018,25-44,Male,Group D,18729,95.07,16749,89.43
East,2017,0-14,Male,Group A,39630,74.74,6563,16.56
West,2011,15-24,Male,Group A,13811,65.5,8279,59.94
North,2016,0-14,Male,Group D,23540,94.46,12232,51.96
North,2011,25-44,Female,Group B,3682,75.31,1705,46.31
Central,2022,25-44,Female,Group D,47566,72.54,9648,20.28
North,2021,65+,Female,Group B,6260,70.19,13440,214.7
West,2020,15-24,Female,Group D,7760,73.19,30939,398.7
Central,2011,65+,Female,Group A,33718,83.97,33177,98.4
East,2024,15-24,Female,Group A,46975,73.65,20377,43.38
North,2013,25-44,Male,Group B,2415,68.94,19631,812.88
South,2010,25-44,Male,Group A,9615,86.98,2319,24.12
North,2024,45-64,Male,Group A,7576,63.73,377,4.98
East,2014,45-64,Female,Group A,15314,63.68,34514,225.38
Central,2015,25-44,Female,Group A,33583,84.95,10426,31.05
East,2018,25-44,Female,Group C,5293,92.27,25074,473.72
South,2019,0-14,Male,Group D,1762,65.37,31185,1769.86
West,2017,0-14,Male,Group D,9819,63.22,27343,278.47
North,2011,65+,Male,Group C,13694,83.82,12431,90.78
Central,2010,45-64,Female,Group A,19809,81.69,14216,71.77
West,2011,45-64,Female,Group D,29260,74.23,14334,48.99
East,2016,25-44,Female,Group D,27498,59.12,14282,51.94
Central,2013,25-44,Male,Group D,3968,58.95,7975,200.98
West,2019,65+,Female,Group B,47142,88.43,16375,34.74
Central,2014,45-64,Male,Group C,13151,74.43,14333,108.99
South,2021,0-14,Male,Group B,20905,91.89,22627,108.24
South,2016,15-24,Male,Group B,14982,79.71,15037,100.37
North,2012,65+,Male,Group C,4909,81.61,10746,218.9
North,2019,15-24,Male,Group D,1047,95.17,25192,2406.11
South,2011,0-14,Male,Group B,38159,62.08,10948,28.69
Central,2022,0-14,Male,Group D,20407,78.35,25696,125.92
South,2016,15-24,Female,Group B,23926,57.5,1753,7.33
North,2014,65+,Male,Group D,42989,70.43,25441,59.18
South,2023,15-24,Female,Group A,14936,61.37,2669,17.87
South,2024,65+,Male,Group A,16990,63.08,1674,9.85
Central,2010,65+,Male,Group A,29462,95.2,31309,106.27
West,2010,25-44,Male,Group C,38736,81.26,23061,59.53
North,2018,45-64,Female,Group A,29788,93.36,33305,111.81
Central,2014,45-64,Male,Group B,22736,74.07,39959,175.75
South,2010,0-14,Male,Group D,15423,80.7,34055,220.81
South,2016,25-44,Female,Group D,1750,56.38,34261,1957.77
West,2018,45-64,Female,Group D,13764,75.19,30272,219.94
North,2020,65+,Female,Group D,2111,79.25,6164,291.99
North,2010,65+,Female,Group B,8428,55.72,35796,424.73
East,2019,15-24,Male,Group D,35058,88.95,6672,19.03
North,2023,15-24,Male,Group B,1367,67.7,20557,1503.8
West,2022,65+,Female,Group B,32189,74.46,23245,72.21
East,2013,65+,Male,Group D,45713,78.03,6764,14.8
East,2023,15-24,Female,Group D,33595,97.66,1536,4.57
South,2012,45-64,Female,Group D,4316,59.26,15381,356.37
South,2014,0-14,Female,Group B,33126,78.88,34635,104.56
North,2016,15-24,Male,Group C,36416,77.82,28806,79.1
East,2017,45-64,Female,Group B,48338,57.96,1412,2.92
South,2022,45-64,Male,Group C,12073,82.26,2968,24.58
West,2011,45-64,Male,Group D,43834,67.33,29937,68.3
South,2016,25-44,Male,Group B,19439,59.46,27834,143.19
South,2023,25-44,Female,Group D,13657,62.68,9789,71.68
East,2023,45-64,Male,Group C,9822,90.41,26994,274.83
East,2010,65+,Female,Group C,2982,59.48,36644,1228.84
Central,2016,25-44,Male,Group B,36367,75.08,18894,51.95
West,2017,15-24,Male,Group B,44780,63.4,7285,16.27
East,2011,25-44,Male,Group B,14175,61.98,18411,129.88
North,2018,65+,Female,Group B,30920,63.85,22869,73.96
West,2010,0-14,Female,Group A,43016,76.19,19803,46.04
West,2022,25-44,Female,Group A,12235,65.22,23355,190.89
East,2015,45-64,Female,Group D,14350,59.16,37656,262.41
West,2010,45-64,Male,Group C,7232,89.46,4711,65.14
East,2012,45-64,Male,Group C,41253,78.21,18656,45.22
South,2020,0-14,Female,Group D,45968,61.74,23354,50.8
Central,2015,65+,Female,Group D,39322,75.27,28965,73.66
South,2012,15-24,Female,Group D,34922,57.94,18914,54.16
East,2017,65+,Female,Group A,33231,79.96,33653,101.27
East,2014,0-14,Male,Group D,11928,69.63,33652,282.13
South,2011,45-64,Female,Group C,11811,59.45,27713,234.64
North,2013,65+,Female,Group D,4233,62.9,31735,749.7
North,2018,15-24,Male,Group B,40079,69.87,28487,71.08
North,2013,45-64,Female,Group C,8842,89.68,8732,98.76
East,2019,15-24,Male,Group C,10964,62.47,13091,119.4
West,2019,25-44,Female,Group C,49014,59.72,33701,68.76
East,2017,15-24,Male,Group A,45811,77.19,1696,3.7
West,2014,45-64,Female,Group A,10800,79.02,15354,142.17
South,2020,25-44,Female,Group C,35063,58.88,11346,32.36
Central,2020,45-64,Female,Group B,49460,67.23,5650,11.42
West,2019,45-64,Female,Group C,14208,66.3,37603,264.66
North,2022,25-44,Female,Group A,28590,63.01,18316,64.06
East,2022,15-24,Male,Group B,49651,68.57,27489,55.36
South,2023,0-14,Female,Group C,41808,56.6,23309,55.75
North,2024,0-14,Male,Group A,16828,83.02,39271,233.37
South,2010,0-14,Male,Group B,27154,97.5,24615,90.65
Central,2016,0-14,Male,Group D,6714,82.26,18003,268.14
East,2012,65+,Male,Group D,39413,70.53,10381,26.34
East,2019,0-14,Female,Group C,28052,83.72,32916,117.34
Central,2017,25-44,Female,Group D,35877,79.58,4910,13.69
East,2023,0-14,Female,Group A,26234,91.41,28595,109.0
West,2021,45-64,Female,Group B,25221,81.74,13700,54.32
South,2012,0-14,Male,Group C,19110,82.27,34409,180.06
North,2010,15-24,Male,Group B,14122,64.53,35358,250.38
Central,2014,25-44,Male,Group B,29375,72.87,1584,5.39
West,2011,25-44,Female,Group B,23726,69.81,18740,78.99
North,2020,65+,Female,Group A,28177,55.49,4596,16.31
North,2013,45-64,Female,Group C,10798,68.47,1591,14.73
Central,2010,25-44,Female,Group D,36348,75.9,16852,46.36
West,2018,15-24,Male,Group B,34255,80.79,20501,59.85
North,2015,0-14,Female,Group B,18244,95.19,9916,54.35
North,2017,25-44,Female,Group B,23934,65.28,15768,65.88
West,2020,15-24,Male,Group A,40814,61.55,8869,21.73
East,2013,0-14,Male,Group D,48501,92.39,4471,9.22
North,2018,65+,Female,Group B,2226,95.5,15428,693.08
South,2011,25-44,Female,Group A,49417,75.98,14456,29.25
West,2018,25-44,Male,Group A,14768,59.95,25385,171.89
North,2021,15-24,Female,Group B,47245,75.87,23586,49.92
Central,2014,45-64,Male,Group B,1407,59.71,24352,1730.77
South,2022,65+,Male,Group A,26259,92.98,22467,85.56
North,2015,45-64,Female,Group A,14264,85.45,12979,90.99
South,2012,25-44,Male,Group B,24909,65.37,14634,58.75
South,2013,45-64,Female,Group A,8890,93.13,29200,328.46
East,2015,0-14,Female,Group A,30672,82.43,28173,91.85
South,2016,65+,Female,Group B,35723,95.99,38061,106.54
East,2010,45-64,Female,Group B,38476,97.16,6638,17.25
West,2016,0-14,Male,Group C,41042,55.14,12929,31.5
East,2010,15-24,Female,Group D,47824,60.17,29666,62.03
Central,2014,45-64,Female,Group B,48696,78.52,26607,54.64
North,2015,65+,Male,Group B,3865,96.1,29762,770.04
West,2022,0-14,Female,Group B,26336,97.75,22758,86.41
West,2011,45-64,Female,Group D,29054,79.4,25930,89.25
Central,2024,15-24,Female,Group C,22163,62.47,27261,123.0
East,2024,45-64,Female,Group A,6451,62.01,22029,341.48
North,2022,0-14,Male,Group D,15675,87.85,35301,225.21
East,2019,45-64,Male,Group B,11527,80.45,37354,324.06
South,2018,65+,Female,Group B,42773,78.6,12855,30.05
East,2023,25-44,Male,Group C,10594,75.03,21165,199.78
West,2019,0-14,Male,Group C,23581,86.18,16516,70.04
North,2015,0-14,Male,Group C,12667,91.9,8559,67.57
East,2016,0-14,Male,Group A,9269,68.03,14372,155.05
North,2023,0-14,Female,Group D,23560,64.5,3742,15.88
North,2024,45-64,Male,Group D,1520,83.82,15729,1034.8
South,2019,65+,Female,Group C,12345,94.33,8254,66.86
South,2024,15-24,Female,Group A,37112,69.97,39882,107.46
West,2017,65+,Male,Group D,36841,66.72,8469,22.99
Central,2020,0-14,Female,Group B,10985,64.72,11290,102.78
North,2024,45-64,Male,Group B,38710,65.94,1308,3.38
Central,2022,45-64,Female,Group B,8414,60.8,21340,253.62
West,2019,0-14,Female,Group D,41219,80.66,1424,3.45
North,2010,45-64,Male,Group C,9302,67.08,13076,140.57
North,2023,0-14,Female,Group B,41788,81.44,15297,36.61
Central,2017,65+,Male,Group C,33814,58.57,8956,26.49
East,2013,25-44,Female,Group A,48798,59.96,3059,6.27
South,2019,45-64,Female,Group B,20065,78.05,25077,124.98
East,2017,0-14,Male,Group A,28117,77.0,14828,52.74
Central,2022,0-14,Male,Group C,42266,66.67,12781,30.24
South,2024,45-64,Male,Group D,26109,90.57,8500,32.56
East,2015,15-24,Female,Group C,44733,63.04,2612,5.84
South,2020,0-14,Male,Group B,20871,70.51,35615,170.64
North,2018,45-64,Male,Group B,48884,78.89,27501,56.26
East,2020,0-14,Male,Group C,19624,92.29,14005,71.37
South,2013,15-24,Male,Group B,13217,73.0,3538,26.77
South,2011,25-44,Female,Group B,48693,72.14,6004,12.33
South,2023,15-24,Female,Group A,38169,79.92,29509,77.31
East,2011,65+,Female,Group D,26772,68.62,20397,76.19
West,2014,45-64,Female,Group C,12342,85.49,12592,102.03
East,2019,15-24,Female,Group A,38976,65.69,10648,27.32
Central,2018,25-44,Female,Group B,2582,90.4,20229,783.46
East,2021,0-14,Male,Group A,26761,66.71,27297,102.0
South,2012,45-64,Female,Group D,21470,97.69,36385,169.47
North,2017,15-24,Male,Group C,10295,68.61,16595,161.19
East,2013,25-44,Male,Group D,45809,92.79,23193,50.63
East,2015,15-24,Male,Group D,33528,72.09,19729,58.84
South,2019,65+,Male,Group A,20680,65.58,17458,84.42
North,2015,45-64,Female,Group A,46835,64.73,27209,58.1
North,2012,0-14,Female,Group D,27851,91.56,7503,26.94
Central,2023,25-44,Female,Group B,39250,68.28,4850,12.36
East,2014,15-24,Male,Group C,33768,69.56,12377,36.65
North,2021,45-64,Female,Group B,1515,63.47,13947,920.59
North,2012,15-24,Female,Group B,43793,96.34,31982,73.03
West,2020,45-64,Female,Group C,24989,65.52,23381,93.57
West,2024,65+,Female,Group A,37231,65.64,22023,59.15
North,2020,15-24,Female,Group B,12366,95.59,14382,116.3
Central,2024,65+,Female,Group A,45515,93.74,39976,87.83
North,2010,25-44,Male,Group C,35974,65.7,13476,37.46
South,2016,65+,Male,Group B,15772,92.18,9971,63.22
East,2013,45-64,Female,Group A,32661,65.74,12163,37.24
Central,2023,25-44,Male,Group A,2599,58.63,25128,966.83
South,2016,15-24,Male,Group B,6886,90.28,15049,218.54
Central,2012,15-24,Female,Group C,5838,88.18,26282,450.19
South,2021,45-64,Male,Group D,8800,67.67,3687,41.9
East,2024,0-14,Female,Group A,21900,58.88,26805,122.4
East,2024,0-14,Male,Group C,25141,63.88,10238,40.72
West,2020,15-24,Female,Group B,4797,88.16,2590,53.99
South,2014,45-64,Male,Group A,19832,96.48,36998,186.56
West,2014,0-14,Male,Group A,41673,66.14,3638,8.73
South,2024,65+,Male,Group A,48362,90.19,35351,73.1
West,2022,15-24,Male,Group C,15701,64.8,36335,231.42
East,2011,65+,Female,Group A,45882,84.22,6367,13.88
Central,2020,45-64,Male,Group A,46629,58.6,13372,28.68
West,2019,65+,Female,Group B,34308,80.17,34433,100.36
South,2021,0-14,Female,Group A,13310,66.58,36451,273.86
South,2011,0-14,Male,Group C,8488,94.81,17157,202.13
East,2013,25-44,Male,Group B,40827,67.46,30560,74.85
South,2024,15-24,Female,Group D,20079,72.13,974,4.85
North,2013,45-64,Male,Group B,21983,91.15,23614,107.42
Central,2013,15-24,Female,Group A,1003,73.85,20922,2085.94
West,2015,65+,Male,Group D,5844,65.25,24605,421.03
Central,2011,45-64,Female,Group B,9447,78.54,36898,390.58
East,2015,45-64,Male,Group A,10033,91.12,27456,273.66
West,2016,0-14,Male,Group B,48076,73.63,21544,44.81
West,2020,65+,Female,Group C,41416,60.71,35188,84.96
North,2019,0-14,Female,Group A,47423,71.47,34407,72.55
East,2012,0-14,Female,Group C,15693,96.04,9105,58.02
South,2020,25-44,Male,Group A,1881,58.1,39668,2108.88
North,2021,0-14,Male,Group C,7512,72.56,25351,337.47
North,2017,15-24,Male,Group D,15713,82.87,22923,145.89
Central,2011,45-64,Male,Group C,28063,58.38,38478,137.11
Central,2020,0-14,Female,Group B,15712,69.83,11373,72.38
Central,2017,15-24,Female,Group A,30624,95.44,13330,43.53
North,2022,65+,Male,Group B,47076,56.32,27152,57.68
South,2020,45-64,Male,Group C,11211,87.32,11137,99.34
West,2014,65+,Male,Group A,30766,91.18,39696,129.03
Central,2011,15-24,Female,Group C,48441,66.91,20734,42.8
South,2016,65+,Female,Group D,10015,64.23,23994,239.58
East,2023,65+,Male,Group D,20693,94.34,25185,121.71
Central,2011,65+,Female,Group D,45207,87.85,19591,43.34
West,2023,0-14,Male,Group C,2631,59.88,27728,1053.9
East,2015,0-14,Male,Group C,2924,64.12,7070,241.79
East,2019,0-14,Female,Group D,44844,81.72,21718,48.43
West,2012,45-64,Female,Group C,22323,73.03,37210,166.69
Central,2018,15-24,Female,Group B,9700,76.68,22193,228.79
North,2012,0-14,Female,Group C,23531,95.92,29920,127.15
West,2020,65+,Male,Group B,3716,73.07,24362,655.6
West,2024,65+,Female,Group D,46094,92.91,10106,21.92
West,2021,65+,Female,Group C,516,83.41,17781,3445.93
East,2021,65+,Female,Group D,37938,60.23,31489,83.0
South,2012,25-44,Female,Group A,26878,87.01,16405,61.04
North,2014,45-64,Male,Group C,35891,77.37,11608,32.34
Central,2016,15-24,Male,Group C,32234,64.68,27732,86.03
Central,2023,15-24,Female,Group D,13850,67.45,3393,24.5
South,2017,0-14,Female,Group D,49781,78.97,5420,10.89
West,2021,25-44,Male,Group D,14950,80.87,19557,130.82
North,2020,15-24,Male,Group A,1973,96.63,39499,2001.98
Central,2016,45-64,Female,Group A,26025,91.75,19749,75.88
Central,2018,65+,Male,Group D,29072,63.85,17674,60.79
West,2014,0-14,Male,Group C,42528,88.28,341,0.8
South,2019,45-64,Male,Group C,37579,55.36,16850,44.84
North,2020,15-24,Male,Group D,30610,60.58,20894,68.26
South,2024,25-44,Female,Group B,36004,63.59,17063,47.39
South,2012,0-14,Male,Group A,27388,80.68,2890,10.55
North,2015,15-24,Male,Group A,2446,63.37,21520,879.8
North,2014,0-14,Female,Group B,22443,70.71,2627,11.71
Central,2021,15-24,Female,Group D,16240,65.44,25619,157.75
Central,2013,65+,Female,Group C,26945,69.51,36183,134.28
North,2021,25-44,Male,Group C,49952,95.53,22565,45.17
East,2011,65+,Female,Group A,9676,97.89,4111,42.49
Central,2016,15-24,Male,Group B,30366,84.49,20661,68.04
East,2022,45-64,Female,Group C,45151,79.61,849,1.88
North,2014,65+,Male,Group A,37769,85.46,26669,70.61
Central,2013,45-64,Female,Group C,12118,88.18,28026,231.28
South,2021,15-24,Female,Group C,25236,86.78,15703,62.22
North,2023,25-44,Male,Group C,39182,58.52,22162,56.56
West,2017,45-64,Female,Group A,25101,68.34,34322,136.74
East,2018,15-24,Female,Group B,33350,69.77,17877,53.6
North,2018,45-64,Female,Group D,41632,70.88,19842,47.66
North,2012,65+,Female,Group B,6304,69.81,2913,46.21
Central,2012,15-24,Female,Group C,20025,88.84,8795,43.92
Central,2014,65+,Male,Group B,45561,87.15,13979,30.68
Central,2014,0-14,Male,Group C,27919,55.2,12364,44.29
West,2019,15-24,Female,Group A,24246,67.74,1746,7.2
Central,2011,45-64,Female,Group A,13312,81.82,35574,267.23
North,2010,0-14,Male,Group A,27186,60.17,26628,97.95
Central,2017,65+,Male,Group C,36352,58.06,37174,102.26
South,2012,65+,Female,Group B,2545,90.62,31907,1253.71
Central,2010,45-64,Male,Group D,25836,74.47,25588,99.04
West,2010,0-14,Female,Group D,49856,91.79,36342,72.89
South,2020,25-44,Female,Group A,46452,90.41,25705,55.34
North,2024,45-64,Female,Group D,30960,93.41,13373,43.19
North,2011,65+,Female,Group C,47643,57.08,29780,62.51
East,2015,15-24,Male,Group B,22168,63.0,28851,130.15
South,2015,0-14,Male,Group D,34820,67.73,23518,67.54
East,2023,25-44,Male,Group D,41084,60.86,14827,36.09
South,2012,15-24,Female,Group B,33075,75.88,6278,18.98
South,2021,0-14,Male,Group D,34092,89.36,36291,106.45
West,2013,45-64,Female,Group B,37016,95.9,8566,23.14
East,2021,45-64,Female,Group C,6078,93.25,14644,240.93
West,2022,0-14,Male,Group C,38465,74.67,17947,46.66
South,2011,25-44,Female,Group C,42298,82.37,27671,65.42
North,2011,0-14,Female,Group A,21579,64.92,9429,43.7
South,2024,15-24,Female,Group C,1437,72.33,16504,1148.5
West,2016,15-24,Male,Group D,8095,92.46,24535,303.09
East,2022,45-64,Female,Group A,924,56.26,2290,247.84
East,2010,0-14,Male,Group A,44770,77.91,32568,72.75
West,2016,45-64,Female,Group A,3551,92.53,11144,313.83
East,2023,25-44,Male,Group C,36173,60.25,31952,88.33
Central,2021,15-24,Female,Group A,31842,97.25,33116,104.0
North,2023,65+,Male,Group C,12738,55.53,21017,164.99
North,2021,65+,Male,Group C,28286,93.1,5298,18.73
North,2023,0-14,Female,Group A,30168,70.21,1333,4.42
East,2010,0-14,Female,Group A,3194,60.71,28870,903.88
East,2023,65+,Female,Group D,4095,61.77,36174,883.37
South,2015,0-14,Female,Group A,1767,85.15,1309,74.08
South,2012,15-24,Male,Group C,921,92.44,28955,3143.87
North,2017,25-44,Female,Group D,20150,82.57,25002,124.08
Central,2015,25-44,Male,Group D,7517,94.94,3306,43.98
South,2020,45-64,Female,Group C,10349,91.23,36904,356.59
South,2011,15-24,Male,Group A,24013,55.39,9858,41.05
East,2017,0-14,Male,Group A,49617,83.79,16540,33.34
Central,2014,0-14,Male,Group B,45399,68.1,8661,19.08
North,2017,45-64,Female,Group A,42144,74.54,23133,54.89
South,2017,45-64,Female,Group B,2726,59.04,8695,318.97
Central,2015,0-14,Male,Group D,4888,67.13,32491,664.71
Central,2011,0-14,Male,Group D,2922,82.21,13297,455.07
North,2017,15-24,Male,Group D,40494,64.39,21732,53.67
Central,2024,45-64,Male,Group B,9769,82.84,31310,320.5
Central,2024,15-24,Male,Group C,12677,94.69,24917,196.55
Central,2020,0-14,Female,Group C,12532,55.21,38743,309.15
South,2015,65+,Male,Group D,44776,88.79,17531,39.15
North,2015,65+,Female,Group B,7816,82.58,31831,407.25
Central,2017,0-14,Female,Group B,3343,57.01,21599,646.1
Central,2010,45-64,Female,Group D,28515,88.98,25714,90.18
South,2011,65+,Male,Group A,4611,64.65,2696,58.47
North,2021,45-64,Male,Group D,45731,66.43,31185,68.19
East,2021,65+,Male,Group B,22543,59.02,20146,89.37
South,2018,45-64,Male,Group A,30601,77.98,39361,128.63
North,2020,65+,Female,Group C,47046,76.42,21634,45.98
Central,2021,45-64,Female,Group A,37492,69.93,38378,102.36
North,2017,15-24,Female,Group C,28370,62.26,33510,118.12
North,2021,45-64,Male,Group B,38247,91.03,11071,28.95
North,2016,15-24,Male,Group D,35669,92.68,13590,38.1
East,2016,15-24,Male,Group D,42209,78.24,11346,26.88
North,2014,0-14,Male,Group D,29915,65.5,24307,81.25
East,2011,15-24,Male,Group D,16185,59.13,15679,96.87
Central,2020,25-44,Male,Group D,16463,92.35,11383,69.14
East,2015,15-24,Female,Group B,30198,59.13,19196,63.57
Central,2019,45-64,Female,Group B,29650,55.57,28424,95.87
Central,2012,15-24,Male,Group D,49695,75.18,10509,21.15
East,2013,45-64,Female,Group A,21926,86.44,16373,74.67
South,2022,45-64,Female,Group D,6535,74.67,11072,169.43
West,2019,25-44,Female,Group C,7571,57.21,32146,424.59
North,2021,15-24,Female,Group C,21078,84.67,27624,131.06
West,2020,15-24,Male,Group C,28544,82.62,22907,80.25
North,2011,65+,Female,Group C,29342,84.31,4888,16.66
North,2023,65+,Male,Group D,17031,64.08,13054,76.65
Central,2011,0-14,Male,Group C,2670,89.22,37754,1414.01
North,2021,45-64,Female,Group A,25187,75.6,3881,15.41
North,2017,25-44,Male,Group D,38386,78.06,21813,56.83
East,2017,65+,Female,Group C,7797,78.47,20079,257.52
West,2019,15-24,Male,Group D,4663,67.33,6278,134.63
East,2015,0-14,Male,Group D,41294,65.76,31556,76.42
North,2022,25-44,Female,Group D,42287,55.2,28141,66.55
Central,2014,15-24,Female,Group B,43212,72.05,1616,3.74
East,2017,15-24,Male,Group C,36207,75.86,19692,54.39
East,2013,45-64,Female,Group B,38995,86.94,25625,65.71
South,2020,45-64,Male,Group A,45188,57.86,33875,74.96
North,2013,65+,Female,Group A,24948,94.73,8707,34.9
Central,2014,65+,Male,Group B,4116,66.35,13773,334.62
East,2010,15-24,Male,Group C,38673,70.77,28898,74.72
East,2010,15-24,Male,Group D,32248,57.08,18518,57.42
Central,2011,65+,Male,Group A,28799,83.08,38919,135.14
North,2023,65+,Male,Group A,43737,85.48,4544,10.39
South,2017,15-24,Female,Group A,41619,94.94,31192,74.95
East,2016,25-44,Male,Group C,12057,69.48,10193,84.54
South,2024,15-24,Female,Group B,39148,66.07,39302,100.39
West,2024,25-44,Female,Group B,14596,86.22,19206,131.58
North,2019,25-44,Male,Group C,34281,85.39,9248,26.98
West,2018,15-24,Male,Group A,9243,95.3,22149,239.63
West,2014,0-14,Female,Group C,7891,63.83,10268,130.12
West,2011,65+,Male,Group C,9855,85.33,18109,183.75
North,2016,45-64,Male,Group B,5747,57.88,31535,548.72
North,2024,15-24,Female,Group C,40786,75.66,34384,84.3
Central,2017,25-44,Female,Group C,6790,60.13,1994,29.37
South,2021,15-24,Female,Group A,34576,83.09,27841,80.52
South,2016,65+,Female,Group D,42952,80.86,2920,6.8
Central,2023,25-44,Female,Group A,26317,57.1,7026,26.7
Central,2016,45-64,Female,Group B,45991,68.74,28980,63.01
West,2021,45-64,Male,Group D,38095,71.99,39763,104.38
Central,2024,45-64,Female,Group A,33327,65.67,38044,114.15
East,2023,0-14,Female,Group C,26709,56.66,6569,24.59
South,2014,25-44,Male,Group C,40254,68.71,6026,14.97
Central,2011,25-44,Male,Group D,32618,89.08,2392,7.33
East,2015,0-14,Male,Group D,43911,70.48,20120,45.82
East,2013,25-44,Male,Group C,15716,68.9,23883,151.97
East,2019,0-14,Male,Group B,8360,95.5,25892,309.71
East,2011,15-24,Male,Group A,13925,56.79,35288,253.41
West,2021,65+,Female,Group C,14306,87.99,24455,170.94
East,2018,45-64,Male,Group A,48218,75.77,17117,35.5
West,2016,0-14,Male,Group A,25411,95.61,9609,37.81
